Name,Movie_url,Poster_url,Year,Category,Run_Time,Rating,Storyline,Index
Stop Making Sense,https://www.imdb.com/title/tt0088178/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BZTkyY2UzNGMtOTE3My00OWE0LThmMjItZTVhNDQ5YzcxN2YxXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_UX140_CR0,0,140,209_AL_.jpg",1984,"Documentary, Music            ",88 min,8.7,"Considered by critics as the greatest concert film of all time, the live performance was shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and features Talking Heads' most memorable songs.",34
Shoah,https://www.imdb.com/title/tt0090015/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTYyMTI3NzYxMl5BMl5BanBnXkFtZTcwMzM5ODQxNA@@._V1_UY209_CR1,0,140,209_AL_.jpg",1985,"Documentary, History, War            ",566 min,8.7,Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.,35
Who's Singin' Over There?,https://www.imdb.com/title/tt0076276/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYzI5NDQ4ZTktMDhhNS00MTVmLWE5ODQtM2Q5NmJkNTZlZTU1XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg",1980,"Adventure, Comedy, Drama            ",86 min,8.7,"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever.",36
The Witness,https://www.imdb.com/title/tt0065067/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNGEyM2RjOGUtZDlmMi00ODU5LWE4OTAtMjUwNTZiZmRjYjc2XkEyXkFqcGdeQXVyNDMxNjY1NTU@._V1_UY209_CR1,0,140,209_AL_.jpg",1969,"Drama, Comedy            ",105 min,8.7,"Banned for over a decade for its outspoken criticism of the post-WWII communist regime in Hungary, Péter Bacsó's 'The Witness' has since then achieved unparalleled cult status in its native...                See full summary »",37
"Blue Mountains, or Unbelievable Story",https://www.imdb.com/title/tt0087349/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNTQwMzQzNzk1MF5BMl5BanBnXkFtZTgwNDkxMTM2MTE@._V1_UX140_CR0,0,140,209_AL_.jpg",1983,"Comedy, Drama            ",97 min,8.7,An author - a passive young man - enters the Soviet-controlled bureaucracy of Georgia attempting to get his novel published only to be neglected and compartmentalized at every turn.,38
Led Zeppelin: Celebration Day,https://www.imdb.com/title/tt2414166/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNzEwODM5NTQ4M15BMl5BanBnXkFtZTcwNDQ0NTU1OA@@._V1_UY209_CR8,0,140,209_AL_.jpg",2012,"Documentary, Music            ",124 min,8.7,"A concert documentary of Led Zeppelin's December 10, 2007 tribute performance for Atlantic Records founder Ahmet Ertegun.",39
Distant Sky: Nick Cave & The Bad Seeds Live in Copenhagen,https://www.imdb.com/title/tt8217244/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BYmUwNDkwMTgtNjMyYy00MjQwLWFjYjEtOTMwZDI3YzM0ZTJmXkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_UX140_CR0,0,140,209_AL_.jpg",2018,Music            ,135 min,8.7,Movie capturing 2017 show in Copenhagen previously screened in theaters for one night only.,40
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR1,0,140,209_AL_.jpg",1991,"Crime, Drama, Thriller            ",118 min,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",41
Se7en,https://www.imdb.com/title/tt0114369/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg",1995,"Crime, Drama, Mystery            ",127 min,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",42
Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",2001,"Animation, Adventure, Family            ",125 min,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",43
